Node ID,URL,HTML,Targets,Status,Created At,Messages
8fae156a-7db7-46d7-b816-1b6b9ff1811a,https://admissions.duke.edu/counselors/,"<h2 class=""eyebrow""></h2>","section[data-sr-id=""13""] > .eyebrow",Active,2024-10-07T16:46:42.142+00:00,"violation: Element does not have text that is visible to screen readers | violation: aria-label attribute does not exist or is empty | violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: Element has no title attribute"
e3381eff-b416-434e-8ee8-98de7184d68f,https://admissions.duke.edu/,"<h2 class=""eyebrow""></h2>","section[data-sr-id=""7""] > .eyebrow",Active,2024-10-07T16:46:42.12+00:00,"violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: Element does not have text that is visible to screen readers | violation: Element has no title attribute | violation: aria-label attribute does not exist or is empty"
6eea1ae4-4687-4bd6-bc09-ebd7773fa384,https://admissions.duke.edu/counselors/,"<button class=""mobile-trigger"" aria-selected=""false"">
  Open
</button>",.mobile-trigger,Active,2024-10-07T16:46:42.114+00:00,violation: Aria Allowed Attr Rule: Ensure an element's role supports its ARIA attributes. Elements must only use supported ARIA attributes. More information: https://dequeuniversity.com/rules/axe/4.10/aria-allowed-attr?application=axe-puppeteer
286d49e1-913d-4077-add2-45768e3c8e64,https://admissions.duke.edu/visit/,"<button class=""mobile-trigger"" aria-selected=""false"">
  Open
</button>",.component-sidebar-link-list > .mobile-trigger,Active,2024-10-07T16:46:42.643+00:00,violation: Aria Allowed Attr Rule: Ensure an element's role supports its ARIA attributes. Elements must only use supported ARIA attributes. More information: https://dequeuniversity.com/rules/axe/4.10/aria-allowed-attr?application=axe-puppeteer
8993870c-681e-4e4c-8fde-c1928c343ed5,https://admissions.duke.edu/resources-tools/,<h3></h3>,.cfg-card.bg-white:nth-child(2) > h3,Equalified,2024-10-07T16:46:42.653+00:00,"violation: Element does not have text that is visible to screen readers | violation: Element has no title attribute | violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: aria-label attribute does not exist or is empty"
924ac02f-3ad1-4100-a31e-dee72b9f15ea,https://admissions.duke.edu/financial-support/,"<button class=""mobile-trigger"" aria-selected=""false"">
  Open
</button>","section[data-sr-id=""12""] > .mobile-trigger",Active,2024-10-07T16:46:42.527+00:00,violation: Aria Allowed Attr Rule: Ensure an element's role supports its ARIA attributes. Elements must only use supported ARIA attributes. More information: https://dequeuniversity.com/rules/axe/4.10/aria-allowed-attr?application=axe-puppeteer
3f46b9f7-96a4-44ce-98c7-457a44673ec0,https://admissions.duke.edu/apply/,"<button class=""mobile-trigger"" aria-selected=""false"">
  Open
</button>",.mobile-trigger,Active,2024-10-07T16:46:42.29+00:00,violation: Aria Allowed Attr Rule: Ensure an element's role supports its ARIA attributes. Elements must only use supported ARIA attributes. More information: https://dequeuniversity.com/rules/axe/4.10/aria-allowed-attr?application=axe-puppeteer
5d4d5ff2-dfb2-4405-bff1-3d4d7c282fb7,https://admissions.duke.edu/resources/,"<h2 class=""eyebrow""></h2>","section[data-sr-id=""0""] > .eyebrow",Active,2025-10-14T16:16:35.483083+00:00,"violation: Element does not have text that is visible to screen readers | violation: aria-label attribute does not exist or is empty | violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: Element has no title attribute"
c458dc97-4809-48e9-935a-8e7483255e44,https://admissions.duke.edu/resources/,<h3></h3>,.cfg-card.bg-grey:nth-child(1) > h3,Active,2025-10-14T16:16:35.499798+00:00,"violation: Element does not have text that is visible to screen readers | violation: aria-label attribute does not exist or is empty | violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: Element has no title attribute"
62f56d88-d72f-474b-abfe-cd2225c5daa9,https://admissions.duke.edu/resources/,<select>,select,Active,2025-10-14T16:16:35.524323+00:00,"violation: aria-label attribute does not exist or is empty | violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: Element has no title attribute | violation: Select Name Rule: Ensure select element has an accessible name. Select element must have an accessible name. More information: https://dequeuniversity.com/rules/axe/4.10/select-name?application=axe-puppeteer | violation: Element does not have an implicit (wrapped) <label> | violation: Element does not have an explicit <label> | violation: ""Element's default semantics were not overridden with role=""""none"""" or role=""""presentation"""""""
2bcd38c0-e879-4574-899e-f2b043a4e8d8,https://admissions.duke.edu/community/,"<div class=""slide-image"" role=""img"" aria-label="""" style=""background-image: url('https://admissions.duke.edu/wp-content/uploads/2019/07/1.jpg');""></div>",".slick-current.slick-active[data-slick-index=""0""] > div > .cwm-slide[data-lat=""36.00549319999999""][data-lng=""-78.91476060000002""] > .slide-image[aria-label=""""][role=""img""]",Active,2024-10-07T16:46:43.2+00:00,"violation: ""Role Img Alt Rule: Ensure [role=""""img""""] elements have alternative text. [role=""""img""""] elements must have an alternative text. More information: https://dequeuniversity.com/rules/axe/4.10/role-img-alt?application=axe-puppeteer"" | violation: aria-label attribute does not exist or is empty | violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: Element has no title attribute | violation: ""Role Img Alt Rule: Ensure [role=""""img""""] elements have alternate text. [role=""""img""""] elements must have an alternative text. More information: https://dequeuniversity.com/rules/axe/4.10/role-img-alt?application=axe-puppeteer"""
